commentID,SID,topicID,message,commentTime
1,1111111,1,pak apakah boleh saya gunakan cara waktu sma?,2020-03-01 7:00:00
2,222222,2,pak hasil saya kok beda ya,2020-03-02 7:00:00
3,333333,3,pak saya kurang paham,2020-03-03 7:00:00
4,444444,4,apakah ada cara yang lebih mudah pak?,2020-03-04 7:00:00
5,555555,3,apakah saya boleh bantu jawab yang lain pak?,2020-03-05 7:00:00
6,555555,1,maaf kurang tau,2020-03-06 7:00:00
7,555555,2,sama pak punya saya juga beda ya,2020-03-07 7:00:00
8,555555,4,saya dulu diajarkan cara yang beda pak,2020-03-08 7:00:00
9,555555,6,baik pa,2020-03-09 7:00:00
10,555555,7,oke pak terimakasih,2020-03-10 7:00:00
