RID,CID,rName,rDesc,rType,rLInk
1,D3PH4316,week-1,Perkenalan pada matkul,video,https://www.youtube.com
2,D3PH4317,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
3,D3PH4318,week-1,Perkenalan pada matkul,video,https://www.youtube.com
4,D3PH4319,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
5,D3PH4320,week-1,Perkenalan pada matkul,video,https://www.youtube.com
6,D3PH4321,week-1,Perkenalan pada matkul,video,https://www.youtube.com
7,D3PH4322,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
8,D3PH4323,week-1,Perkenalan pada matkul,video,https://www.youtube.com
9,D3PH4324,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
10,D3PH4325,week-1,Perkenalan pada matkul,video,https://www.youtube.com
11,D3PH4326,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
12,D3PH4327,week-1,Perkenalan pada matkul,video,https://www.youtube.com
13,D3PH4328,week-1,Perkenalan pada matkul,video,https://www.youtube.com
14,D3PH4329,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
15,D3PH4330,week-1,Perkenalan pada matkul,excel,https://docs.google.com/spreadsheets/d/1sYX
16,D3PH4301,week-1,Perkenalan pada matkul,excel,https://docs.google.com/spreadsheets/d/1sYX
17,D3PH4302,week-1,Perkenalan pada matkul,video,https://www.youtube.com
18,D3PH4303,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
19,D3PH4304,week-1,Perkenalan pada matkul,video,https://www.youtube.com
20,D3PH4305,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
21,D3PH4306,week-1,Perkenalan pada matkul,video,https://www.youtube.com
22,D3PH4307,week-1,Perkenalan pada matkul,video,https://www.youtube.com
23,D3PH4308,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
24,D3PH4309,week-1,Perkenalan pada matkul,docs,docs.google.com/document/d/1Sd
25,D3PH4309,week-2,math review 1,video,https://www.youtube.com
26,D3PH4309,week-3,math review 1,docs,docs.google.com/document/d/1Sd
27,D3PH4309,week-4,pertidak samaan,video,https://www.youtube.com
28,D3PH4309,week-5,fungsi,video,https://www.youtube.com
29,D3PH4309,week-6,limit,docs,docs.google.com/document/d/1Sd
30,D3PH4309,week-7,fungsi kontinu,video,https://www.youtube.com
