teachID,CID,LID,timeCourseCreate,cDaySchedule,cTimeSch
1,D3PH4316,101,2020-01-01,monday,07:30:00
2,D3PH4317,102,2020-01-02,tuesday,08:30:00
3,D3PH4318,103,2020-01-03,wednesday,09:30:00
4,D3PH4319,104,2020-01-04,thrusday,10:30:00
5,D3PH4320,105,2020-01-05,friday,11:30:00
6,D3PH4321,106,2020-01-06,saturday,12:30:00
7,D3PH4322,107,2020-01-07,monday,13:30:00
8,D3PH4323,108,2020-01-08,tuesday,14:30:00
9,D3PH4324,109,2020-01-09,wednesday,15:30:00
10,D3PH4325,110,2020-01-10,thrusday,07:30:00
11,D3PH4326,111,2020-01-11,friday,08:30:00
12,D3PH4321,112,2020-01-12,saturday,09:30:00
13,D3PH4322,113,2020-01-13,saturday,10:30:00
14,D3PH4323,114,2020-01-14,friday,11:30:00
15,D3PH4324,115,2020-01-15,monday,12:30:00
